,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
696,اگر می‌خواهید دنیا را ارزان، به حد ضرورت، به‌خاطر سبک زندگی یا یک چالش بگردید، روش‌های مختلفی برای این امر وجود دارد. اساساً در دو دسته قرار می‌گیرند: اینکه هنگام مسافرت کار کنید و یا سعی کنید هزینه‌هایتان را محدود کنید. این مقاله بر دسته دوم تمرکز دارد. کسانی که بخاطر پایین آوردن هزینه‌ها تا نزدیک صفر تمایل به فدا کردن راحتی، زمان و قابلیت پیش‌بینی دارند، بخش حداقل بودجه سفر را بخوانند. این مشاوره فرض را بر این می‌گذارد که مسافران دزدی نمی‌کنند، از قوانین تخطی نمی‌کنند، در بازار غیرقانونی شرکت نمی‌کنند، التماس نمی‌کنند یا درغیراین‌صورت از افراد دیگر برای کسب منافع خود سوء استفاده نمی‌کنند.,مطابق با متن، چه کسی ممکن است برای مسافرت با حداقل بودجه با مشکل مواجه شود؟,4,2,کسی که چالش‌پذیر است,کسی که محدودیت‌های زمانی سختگیرانه ندارد,کسی که هنگام مسافرت قصد کار کردن از راه دور را دارد,کسی که از پیروی یک برنامه سفر لذت می‌برد ,False
698,گستره بین مناطق پوینت ماریون و فیرمونت دارای چالش‌انگیزترین شرایط رانندگی در بزرگراه بوفالو است، زیرا به کرات از میان زمین‌های جنگلی پراکنده مجزا عبور می‌کند. اگر عادت به رانندگی در جاده‌های روستایی ندارید، حواستان جمع باشد:‌ شیب‌های تند، باندهای باریک و پیچ‌های تند زیادتری وجود دارند. محدودیت‌های سرعت نصب‌شده بطور قابل توجهی کمتر از بخش‌های قبلی و بعدی است - معمولاً 35 تا 40 مایل بر ساعت (56 تا 64 کیلومتر در ساعت) - و رعایت جدی آنها حتی از بخش‌های دیگر هم مهم‌تر است. با کمال تعجب، خدمات تلفن همراه در اینجا بسیار قوی تر از سایر نقاط مسیر است، به عنوان مثال پنسیلوانیا وایلد.,مطابق با متن، کدام‌یک از این موارد باید نگرانی اصلی رانندگانی باشد که در بزرگراه بوفالو-پیتسبرگ رانندگی می‌کنند؟,3,4,گیر کردن در ترافیک سنگین,نبود سرویس‌دهی کافی تلفن همراه,دور تند و خیلی سریع زدن,مواجهه مکرر با مرمت جاده ,False
699,دره نوردی (یا: canyoneering) به معنای رفتن به ته یک دره است، دره‌ای که می‌تواند خشک یا پر از آب باشد. دره‌نوردی عناصر شنا، صعود از کوه و پریدن از ارتفاع را ادغام می‌کند ولی نیاز به کمی تمرین و آمادگی جسمانی برای شروع است (برای مثال با صخره‌نوردی،‌ غواصی یا اسکی بازی آلپ مقایسه شده است).,کدام‌یک از موارد زیر برای شروع دره‌نوردی الزامی نیست؟,2,4,شنا بلد بودن,شرایط بدنی فوق‌العاده,توانایی پرش ,مقدار کمی آموزش,False
717,جزایر کوک یک کشور جزیره‌ای در اتحاد آزاد با نیوزلند است، که در پولینزی، در میانه اقیانوس آرام جنوبی واقع شده است. شبه‌جزیره‌ای است با 15 جزیره که تا بیش از 2.2 میلیون کیلومتر مربع در پهنه اقیانوس کشیده شده است. به این جزایر که منطقه زمانی‌شان با هاوایی یکسان است، گاهی نام «هاوایی پایین‌دست» را نسبت می‌دهند. اگرچه کم هستند، هنوز برخی از بازدید کنندگان سالخورده هاوایی را قبل از اینکه یکی از ایالت‌های امریکا شود و بدون همه هتل‌های بزرگ توریستی و سایر پیشرفت‌هایش به یاد می‌آورند. شهری در جزایر کوک وجود ندارد، بلکه از 15 جزیره مختلف تشکیل شده است. جزایر اصلی عبارتند از راروتونگو و آیتوتاکی.,کدام‌یک از موارد زیر جزایر کوک را به‌طور دقیق توصیف نمی‌کند؟,3,2,خیلی کوچک‌تر از هاوایی است,یک شبه‌جزیره است ,شهرهای اصلی راروتونگو و آیتوتاکی هستند,این کشور جزیره‌ای منطقه زمانی یکسانی با هاوایی دارد,False
724,گوزن‌های شمالی ذاتاً پرخاشگر نیستند، اما اگر احساس خطر کنند از خود دفاع خواهند کرد. وقتی فرد خطر بالقوه‌ای در گوزن‌های شمالی نبیند، زیاد به آنها نزدیک می‌شود و خود را به خطر می‌اندازد.,افراد از انجام کدام موارد زیر هنگام حضور گوزن شمالی باید اجتناب کنند؟,3,4,نادیده گرفتن حضور آنها,نزدیک شدن به آرامی,به حداقل رساندن سطح خطر بالقوه آنها,مشاهده آنها از دور,False
726,در گرمای روز، مسافران می‌توانند سراب‌هایی را تجربه کنند که باعث توهم دیدن آب (یا چیزهای دیگر) می‌شود. اگر مسافری سراب را دنبال کند می‌تواند خطرناک باشد چون باقی‌مانده انرژی گران‌بها و آب را هدر می‌دهد. حتی داغ‌ترین بیابان‌ها هم می‌توانند در شب بی‌نهایت سرد شوند. بدون داشتن لباس گرم سرمازدگی واقعاً یک خطر به‌حساب می‌آید.,مطابق با متن، کدام‌یک از موارد زیر کمترین خطر را برای یک مسافر در صحرا دارد؟,2,4,نداشتن لباس گرم در یک شب سرد,دیدن یک سراب که توهم آب می‌دهد,از دست دادن انرژی هنگام دنبال کردن سراب,از دست دادن آب هنگام دنبال کردن سراب,False
735,اکوادور ملزم داشته که شهروندان کوبایی قبل از ورود به اکوادور از طریق فرودگاه‌های بین‌المللی یا نقاط پذیرش مرزی دعوتنامه دریافت کنند. این نامه باید توسط وزارت امور خارجه اکوادور شکل قانونی بگیرد و با برخی الزامات مطابقت داشته باشد. این الزامات به منظور فراهم ساختن جریان سازمان یافته‌ای از مهاجرت بین دو کشور طرح‌ریزی شده است. شهروندان کوبایی که کارت سبز ایالات متحده را دارند، برای دریافت معافیت از این مورد ضروری باید از کنسولگری اکوادور بازدید کنند. گذرنامه شما باید حداقل 6 ماه بیش از تاریخ سفرتان معتبر باشد. برای اثبات مدت زمان اقامت‌تان به یک بلیط رفت و برگشت/رفت نیاز دارید.,به منظور اجتناب از الزامات مشخص هنگام ورود به اکوادور، یک شهروند کوبایی باید اول چه چیز داشته باشد؟,4,2,یک گذرنامه با اعتبار 6 ماه فراتر از تاریخ‌های مسافرت,یک دعوت‌نامه قانونی,یک بلیط سفر رفت و برگشت برای اثبات مدت ماندن,یک کارت سبز ایالات متحده,False
740,ارز رسمی فالکلند پوند فالکلند (FKP) است که ارزش آن معادل یک پوند بریتانیا (GBP) تعیین شده است. در تنها بانک موجود در جزایر که در استنلی و در امتداد فروشگاه FIC West واقع شده است، امکان تبدیل پول وجود دارد. معمولاً پوند انگلیس در سراسر جزایر قبول می‌شود و کارت‌های اعتباری استنلی و دلار آمریکا نیز اغلب پذیرفته می‌شوند. احتمالاً در جزایر دورتر کارت‌های اعتباری پذیرفته نشود، اگرچه ارز بریتانیا و ایالات متحده مورد قبول است؛ از قبل روش پرداخت مورد قبول را با مالکان هماهنگ کنید. مبادله ارز فالکلند در خارج از جزایر تقریبا غیرممکن است، بنابراین قبل از ترک جزایر پول خود را تبدیل کنید.,براساس متن، هنگام مسافرت در فالکلند از ایالات متحده، در کجا شکل دیگری از پرداخت بجز کارت اعتباری می‌تواند به‌ویژه مفید باشد؟,3,2,در فروشگاه FIC West,درسراسر جزایر,در جزایر دوردست,درسراسر استنلی,False
745,شرکت‌های هواپیمایی مانند Emirates، Etihad Airways، Qatar Airways و Turkish Airlines خدمات خود را به آفریقا بسیار گسترش داده‌اند و به نسبت سایر خطوط هوایی اروپایی بسیاری از شهرهای بزرگ آفریقایی را با نرخ رقابتی به هم متصل کرده‌اند. از سال 2014 خطوط‌هوایی ترکیه به 39 مقصد در 30 کشور آفریقایی پرواز می‌کنند. اگر زمان اضافه برای سفر دارید،‌ بررسی کنید که مظنه کلی هزینه سفر شما به آفریقا در مقایسه با سفر به دور دنیا چقدر است. فراموش نکنید که هزینه‌های اضافی ویزاهای اضافی، مالیات خروج، حمل و نقل زمینی و غیره را برای همه مناطق خارج از آفریقا اضافه کنید.,هنگام مقایسه مظنه کلی کرایه به آفریقا با سفر دور دنیا چه چیزی را لازم نیست درنظر گرفت؟,3,1,هزینه ویزاهای اضافی برای مکان‌های خارج از آفریقا,هزینه مالیات‌های عزیمت به آفریقا,هزینه ویزای آفریقا,هزینه حمل و نقل زمینی برای مکان‌های خارج از آفریقا,False
753,استفاده از برنامه‌های ناوبری GPS در تلفن هوشمندتان می‌تواند ساده‌ترین و در عین حال مناسب‌ترین راه برای مسیریابی در هنگام حضور در خارج از کشور باشد. این برنامه می‌تواند در خرید نقشه‌های جدید برای GPS یا دستگاه GPS شما به تنهایی یا اجاره یکی از آنها از شرکت اجاره خودرو برای شما صرفه مالی داشته باشد. اگر به تلفن خود اتصال داده ندارید یا زمانی که دور از دسترس است، عملکرد آن می‌تواند محدود شده یا در دسترس نباشد.,چه چیز دلیل خوبی برای استفاده از یک برنامه مسیریابی GPS بجای یک دستگاه مستقل نیست؟,1,4,نگران نبودن درباره اتصال داده,صرفه‌جویی در پول,اجتناب از اجاره,نیاز نداشتن به خرید نقشه‌های جدید,False
759,در بسیاری از نقاط جهان، دست تکان دادن یک حرکت دوستانه است و نشانگر «سلام» است. با این حال، در مالزی حداقل در میان مالایی‌ها در مناطق روستایی، به معنای تحت تاثیر قرار «دادن است،» مشابه خم کردن انگشت سبابه به سمت بدن، ژستی که در برخی از کشورهای غربی مورد استفاده قرار می‌گیرد و فقط باید برای آن منظور استفاده شود. به همین ترتیب، یک مسافر انگلیسی در اسپانیا ممکن است دست تکان دادن به معنی خداحافظی را با ژست حرکتی بازگشتن اشتباه بگیرد که در این حالت کف دست روبروی شخص تکان دهنده قرار می‌گیرد (به‌جای آنکه حرکت دست به سمت فرد باشد).,در مناطق روستایی مالزی، کدام ژست حرکتی به معنی «بیا اینجا» است؟,2,1,خم کردن انگشت سبابه,دست تکان دادن,کف دست‌ها را به کف‌دست فرد دیگر زدن,انگشت شصت را بالا گرفتن,False
772,Jardín de la Unión. این فضا به عنوان اتاق میانی یک صومعه قرن 17 ساخته شده است، که Templo de San Diego تنها ساختمان بازمانده از آن است. اکنون نقش میدان مرکزی را دارد، و همیشه در طول شبانه روز رویدادهای زیادی در آن در جریان است. تعدادی رستوران در اطراف باغ وجود دارد، و اغلب بعدازظهرها و شب از عمارت مرکزی کنسرت‌های رایگان پخش می‌شود. Callejon del Beso (کوچه بوسه). دو بالکنی که فقط 69 سانتی‌متر با هم فاصله داشتند منزلگاه افسانه عاشقانه‌ای کهن است. بعضی کودکان در عوض چند سکه برای شما قصه را می‌گویند.,مطابق با متن، کدام‌یک از موارد زیر در Jardín de la Unión یافت نمی‌شود؟,2,4,یک بالکنی مرکزی با کنسرت,منزلگاه یک داستان عاشقانه قدیمی,رستوران‌های رو به باغ ,یک ساختمان صومعه قدیمی,False
779,مطمئن باشید وقتی که به بندر رسیدید، همه چیز تقریباً واضح خواهد بود. شما با سایر مسافران توراهی ملاقات خواهید کرد و آنها اطلاعات خود را با شما به اشتراک می‌گذارند. در اصل شما می‌توانید اعلامیه‌هایی نشان دهید که کمک پیشنهادی شما را نشان دهد، در اسکله‌ها قدم بزنید، به افرادی که قایق‌های خود را تمیز می‌کنند، نزدیک شوید، سعی کنید با ملوانان در بار تماس برقرار کنید و غیره. سعی کنید تا حد ممکن با افراد بیشتری صحبت کنید. پس از مدتی همه شما را خواهند شناخت و راهنمایی خواهند کرد که کدام قایق به دنبال اشخاص می‌گردد.,اگر خواهان یافتن قایقی هستید که به‌دنبال کمک است، از چه چیز باید اجتناب کنید؟,4,3,قدم زدن در اسکله‌ها,دوست شدن با کاپیتان‌ها,تبلیغ کردن درباره خدمات‌تان,نادیده گرفتن مسافران توراهی قایق,False
